title,posturl,imgurl,date,text
Derivatives Series 1 Power Rule for Integers,https://drive.google.com/file/d/1sKMpjlDCKesRXwHmp6xGI_wnW3YAVdoM/view?usp=sharing,default,2019/2020,the first part of me trying to build calculus from scratch
Derivatives Series 2 Multiplication Rule,https://drive.google.com/file/d/17dAolTKKYTmjOjqi1Wck1LNMhSBQJa7-/view?usp=sharing,default,early summer pre-sophomore year,Me proving the multiplication derivative rule
